comparison,split_a,uav_a,split_b,uav_b,overlap_cycles,sampled_points,robust_scaled_rmse,robust_scaled_mean_absolute_difference,near_duplicate
test-test,test,UAV_0114,test,UAV_0151,118,100,1.231945138172779,0.6331732627429725,False
test-test,test,UAV_0133,test,UAV_0169,105,100,1.232136635299732,0.6475704438901947,False
test-test,test,UAV_0190,test,UAV_0197,95,95,1.2373094065895294,0.665779840951745,False
test-test,test,UAV_0108,test,UAV_0111,103,100,1.2380304575804146,0.6786733212559932,False
test-test,test,UAV_0174,test,UAV_0188,41,41,1.2413524124369049,0.7090406499982309,False
test-test,test,UAV_0109,test,UAV_0147,56,56,1.2429788587068464,0.7387930452969746,False
test-test,test,UAV_0139,test,UAV_0162,224,100,1.2448717092670283,0.7540713396392666,False
test-test,test,UAV_0185,test,UAV_0188,41,41,1.2603869576165327,0.7455252488333662,False
test-test,test,UAV_0147,test,UAV_0170,56,56,1.2673284398807747,0.6693321249856437,False
test-test,test,UAV_0164,test,UAV_0168,188,100,1.2737532096235242,0.7619121890829661,False
test-test,test,UAV_0140,test,UAV_0172,232,100,1.2885192340508924,0.7557476079352974,False
test-test,test,UAV_0194,test,UAV_0197,95,95,1.2892868508170319,0.6751908100800761,False
test-test,test,UAV_0117,test,UAV_0130,230,100,1.289909992452572,0.9480701351299005,False
test-test,test,UAV_0114,test,UAV_0119,115,100,1.3010323066877707,0.7749640197686992,False
test-test,test,UAV_0162,test,UAV_0200,224,100,1.3082622165445545,0.7552150425860402,False
test-test,test,UAV_0133,test,UAV_0183,168,100,1.3104187649468158,0.8111206160363361,False
test-test,test,UAV_0101,test,UAV_0106,64,64,1.3113119984580792,0.8744380608781317,False
test-test,test,UAV_0109,test,UAV_0167,186,100,1.3167717551126092,0.8136708547609306,False
test-test,test,UAV_0114,test,UAV_0134,105,100,1.3227033036520055,0.8084987072963512,False
test-test,test,UAV_0183,test,UAV_0197,95,95,1.3350034518613076,0.8992386153423051,False
test-test,test,UAV_0114,test,UAV_0160,112,100,1.3357189312621396,0.6416421204539812,False
test-test,test,UAV_0167,test,UAV_0188,41,41,1.3391696824228316,0.751607647632384,False
